iShares Russell Mid-Cap Growth ETF
Fund Holdings as of,"Jan 07, 2026"
Inception Date,"Jul 17, 2001"
Shares Outstanding,"149,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CAH","CARDINAL HEALTH INC","Health Care","Equity","171,086,313.74","0.81","171,086,313.74","825,746.00","207.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","171,045,248.36","0.81","171,045,248.36","1,305,988.00","130.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTAI","FTAI AVIATION LTD","Industrials","Equity","168,758,150.34","0.80","168,758,150.34","701,318.00","240.63","United States","NASDAQ","USD","1.00","USD","-"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrials","Equity","159,981,339.68","0.76","159,981,339.68","728,944.00","219.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZS","ZSCALER INC","Information Technology","Equity","158,979,134.20","0.75","158,979,134.20","687,745.00","231.16","United States","NASDAQ","USD","1.00","USD","-"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","156,863,134.80","0.74","156,863,134.80","1,089,630.00","143.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DRI","DARDEN RESTAURANTS INC","Consumer Discretionary","Equity","153,092,341.11","0.73","153,092,341.11","766,343.00","199.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPAY","CORPAY INC","Financials","Equity","150,018,418.62","0.71","150,018,418.62","467,901.00","320.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PODD","INSULET CORP","Health Care","Equity","144,430,001.73","0.68","144,430,001.73","482,769.00","299.17","United States","NASDAQ","USD","1.00","USD","-"
"ALAB","ASTERA LABS INC","Information Technology","Equity","143,782,432.97","0.68","143,782,432.97","867,361.00","165.77","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","142,758,193.48","0.68","142,758,193.48","246,692.00","578.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HEIA","HEICO CORP CLASS A","Industrials","Equity","139,958,049.19","0.66","139,958,049.19","516,317.00","271.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUBS","HUBSPOT INC","Information Technology","Equity","139,881,146.52","0.66","139,881,146.52","351,266.00","398.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BURL","BURLINGTON STORES INC","Consumer Discretionary","Equity","134,038,377.80","0.64","134,038,377.80","432,661.00","309.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LVS","LAS VEGAS SANDS CORP","Consumer Discretionary","Equity","129,630,998.89","0.61","129,630,998.89","2,110,223.00","61.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY INC","Energy","Equity","129,486,000.49","0.61","129,486,000.49","660,407.00","196.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","127,458,685.68","0.60","127,458,685.68","1,767,314.00","72.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","127,391,808.02","0.60","127,391,808.02","580,082.00","219.61","United States","NASDAQ","USD","1.00","USD","-"
"PSTG","PURE STORAGE INC CLASS A","Information Technology","Equity","125,736,581.58","0.60","125,736,581.58","1,833,162.00","68.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IT","GARTNER INC","Information Technology","Equity","124,558,375.05","0.59","124,558,375.05","507,015.00","245.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SGI","SOMNIGROUP INTERNATIONAL INC","Consumer Discretionary","Equity","123,920,678.94","0.59","123,920,678.94","1,391,898.00","89.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASTS","AST SPACEMOBILE INC CLASS A","Communication","Equity","119,991,051.47","0.57","119,991,051.47","1,399,639.00","85.73","United States","NASDAQ","USD","1.00","USD","-"
"TTD","TRADE DESK INC CLASS A","Communication","Equity","118,737,399.35","0.56","118,737,399.35","3,072,119.00","38.65","United States","NASDAQ","USD","1.00","USD","-"
"TOST","TOAST INC CLASS A","Financials","Equity","116,903,607.60","0.55","116,903,607.60","3,188,860.00","36.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DKNG","DRAFTKINGS INC CLASS A","Consumer Discretionary","Equity","115,117,991.00","0.55","115,117,991.00","3,321,350.00","34.66","United States","NASDAQ","USD","1.00","USD","-"
"ROL","ROLLINS INC","Industrials","Equity","114,882,487.90","0.54","114,882,487.90","1,932,422.00","59.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","111,755,726.84","0.53","111,755,726.84","397,156.00","281.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TYL","TYLER TECHNOLOGIES INC","Information Technology","Equity","110,564,445.87","0.52","110,564,445.87","246,669.00","448.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LII","LENNOX INTERNATIONAL INC","Industrials","Equity","110,408,155.71","0.52","110,408,155.71","218,643.00","504.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GWRE","GUIDEWIRE SOFTWARE INC","Information Technology","Equity","109,665,365.28","0.52","109,665,365.28","584,321.00","187.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","109,160,210.98","0.52","109,160,210.98","425,294.00","256.67","United States","NASDAQ","USD","1.00","USD","-"
"GDDY","GODADDY INC CLASS A","Information Technology","Equity","108,785,657.64","0.52","108,785,657.64","925,993.00","117.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","106,358,999.25","0.50","106,358,999.25","473,865.00","224.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HEI","HEICO CORP","Industrials","Equity","103,056,652.44","0.49","103,056,652.44","293,684.00","350.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","Consumer Discretionary","Equity","102,949,324.80","0.49","102,949,324.80","999,120.00","103.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","97,526,850.38","0.46","97,526,850.38","648,062.00","150.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","97,412,680.89","0.46","97,412,680.89","1,362,987.00","71.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","96,122,067.50","0.46","96,122,067.50","1,424,875.00","67.46","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","94,220,897.38","0.45","94,220,897.38","153,682.00","613.09","United States","NASDAQ","USD","1.00","USD","-"
"AFRM","AFFIRM HOLDINGS INC CLASS A","Financials","Equity","93,460,068.35","0.44","93,460,068.35","1,125,347.00","83.05","United States","NASDAQ","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","91,552,098.95","0.43","91,552,098.95","497,701.00","183.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DT","DYNATRACE INC","Information Technology","Equity","89,045,703.68","0.42","89,045,703.68","2,031,152.00","43.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VIK","VIKING HOLDINGS LTD","Consumer Discretionary","Equity","88,321,840.00","0.42","88,321,840.00","1,200,025.00","73.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","87,225,675.92","0.41","87,225,675.92","411,986.00","211.72","United States","NASDAQ","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","85,988,978.90","0.41","85,988,978.90","215,290.00","399.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IONS","IONIS PHARMACEUTICALS INC","Health Care","Equity","84,148,245.54","0.40","84,148,245.54","1,011,762.00","83.17","United States","NASDAQ","USD","1.00","USD","-"
"TXRH","TEXAS ROADHOUSE INC","Consumer Discretionary","Equity","82,885,525.77","0.39","82,885,525.77","458,463.00","180.79","United States","NASDAQ","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","81,984,456.57","0.39","81,984,456.57","438,443.00","186.99","United States","NASDAQ","USD","1.00","USD","-"
"PEN","PENUMBRA INC","Health Care","Equity","81,408,625.00","0.39","81,408,625.00","257,500.00","316.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NBIX","NEUROCRINE BIOSCIENCES INC","Health Care","Equity","80,684,381.12","0.38","80,684,381.12","573,776.00","140.62","United States","NASDAQ","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","80,259,082.47","0.38","80,259,082.47","686,151.00","116.97","United States","NASDAQ","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","78,033,835.20","0.37","78,033,835.20","699,040.00","111.63","United States","NASDAQ","USD","1.00","USD","-"
"IOT","SAMSARA INC CLASS A","Information Technology","Equity","78,005,680.75","0.37","78,005,680.75","2,148,325.00","36.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Real Estate","Equity","75,591,433.61","0.36","75,591,433.61","594,319.00","127.19","United States","NASDAQ","USD","1.00","USD","-"
"ONON","ON HOLDING AG CLASS A","Consumer Discretionary","Equity","74,754,557.58","0.35","74,754,557.58","1,536,263.00","48.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAH","BOOZ ALLEN HAMILTON HOLDING CORP C","Industrials","Equity","74,347,793.82","0.35","74,347,793.82","823,707.00","90.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQH","EQUITABLE HOLDINGS INC","Financials","Equity","74,190,299.26","0.35","74,190,299.26","1,554,049.00","47.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","73,963,715.28","0.35","73,963,715.28","2,303,448.00","32.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOCU","DOCUSIGN INC","Information Technology","Equity","73,152,855.00","0.35","73,152,855.00","1,051,500.00","69.57","United States","NASDAQ","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES INC","Information Technology","Equity","71,847,414.45","0.34","71,847,414.45","415,135.00","173.07","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","68,928,609.42","0.33","68,928,609.42","105,886.00","650.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Consumer Discretionary","Equity","68,128,845.18","0.32","68,128,845.18","2,789,879.00","24.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OWL","BLUE OWL CAPITAL INC CLASS A","Financials","Equity","68,091,735.64","0.32","68,091,735.64","4,370,458.00","15.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXEL","EXELIXIS INC","Health Care","Equity","68,062,858.79","0.32","68,062,858.79","1,473,541.00","46.19","United States","NASDAQ","USD","1.00","USD","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","Information Technology","Equity","66,540,613.02","0.32","66,540,613.02","801,501.00","83.02","United States","NASDAQ","USD","1.00","USD","-"
"VLTO","VERALTO CORP","Industrials","Equity","65,588,295.36","0.31","65,588,295.36","653,856.00","100.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNSL","KINSALE CAPITAL GROUP INC","Financials","Equity","60,941,667.78","0.29","60,941,667.78","152,943.00","398.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLNT","PLANET FITNESS INC CLASS A","Consumer Discretionary","Equity","60,554,714.40","0.29","60,554,714.40","580,026.00","104.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HALO","HALOZYME THERAPEUTICS INC","Health Care","Equity","60,007,632.30","0.28","60,007,632.30","798,930.00","75.11","United States","NASDAQ","USD","1.00","USD","-"
"CFLT","CONFLUENT INC CLASS A","Information Technology","Equity","60,006,712.92","0.28","60,006,712.92","1,988,294.00","30.18","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","59,230,600.51","0.28","59,230,600.51","238,631.00","248.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","59,104,636.50","0.28","59,104,636.50","792,075.00","74.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CELH","CELSIUS HOLDINGS INC","Consumer Staples","Equity","58,331,327.18","0.28","58,331,327.18","1,136,177.00","51.34","United States","NASDAQ","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","56,889,005.04","0.27","56,889,005.04","545,384.00","104.31","United States","NASDAQ","USD","1.00","USD","-"
"TPG","TPG INC CLASS A","Financials","Equity","56,656,151.13","0.27","56,656,151.13","858,882.00","65.97","United States","NASDAQ","USD","1.00","USD","-"
"PINS","PINTEREST INC CLASS A","Communication","Equity","55,922,439.67","0.27","55,922,439.67","2,034,283.00","27.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BROS","DUTCH BROS INC CLASS A","Consumer Discretionary","Equity","51,305,407.86","0.24","51,305,407.86","811,666.00","63.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","51,078,758.40","0.24","51,078,758.40","77,940.00","655.36","United States","NASDAQ","USD","1.00","USD","-"
"SFM","SPROUTS FARMERS MARKET INC","Consumer Staples","Equity","50,550,809.58","0.24","50,550,809.58","676,446.00","74.73","United States","NASDAQ","USD","1.00","USD","-"
"MUSA","MURPHY USA INC","Consumer Discretionary","Equity","49,921,765.95","0.24","49,921,765.95","117,201.00","425.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WING","WINGSTOP INC","Consumer Discretionary","Equity","49,615,540.56","0.24","49,615,540.56","192,204.00","258.14","United States","NASDAQ","USD","1.00","USD","-"
"ESTC","ELASTIC NV","Information Technology","Equity","48,981,861.30","0.23","48,981,861.30","635,303.00","77.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMCI","SUPER MICRO COMPUTER INC","Information Technology","Equity","48,824,349.36","0.23","48,824,349.36","1,626,936.00","30.01","United States","NASDAQ","USD","1.00","USD","-"
